,ampl,center,sigma,offset,residue,ix,iy,direction
0,15102.9,-33.5,1.742,19918.9,167553.94,0,0,x
1,20737.1,-9.34,1.677,23114.2,314309.72,1,0,x
2,16334.9,14.74,1.58,16871.5,171775.64,2,0,x
3,22071.3,39.1,1.698,21182.0,338741.92,3,0,x
4,13887.8,-34.08,1.626,22289.2,87368.06,0,1,x
5,19387.6,-9.83,1.618,25083.6,145326.49,1,1,x
6,20267.9,14.38,1.583,25132.5,159605.46,2,1,x
7,20617.0,38.66,1.6,23383.1,382442.12,3,1,x
8,15360.4,-34.62,1.604,21527.3,116912.61,0,2,x
9,19980.3,-10.36,1.583,24819.3,139293.57,1,2,x
10,20240.2,13.91,1.546,25031.2,108715.55,2,2,x
11,19229.9,38.12,1.602,23705.7,186556.63,3,2,x
12,15062.8,-35.14,1.68,19353.5,160319.66,0,3,x
13,18798.5,-10.88,1.574,22338.7,158342.94,1,3,x
14,20376.8,13.4,1.557,22655.2,164532.53,2,3,x
15,18806.0,37.64,1.561,21422.4,105916.33,3,3,x
0,18381.8,-102.66,1.676,20132.9,329237.12,0,0,y
1,21562.6,-102.22,1.57,23480.5,320892.19,1,0,y
2,15541.3,-101.49,1.475,17234.6,98062.99,2,0,y
3,21811.0,-101.07,1.507,22099.9,170779.03,3,0,y
4,18010.8,-79.36,1.518,22614.0,227490.7,0,1,y
5,20693.2,-78.89,1.466,25751.4,193161.89,1,1,y
6,19780.2,-78.39,1.47,25437.7,174631.58,2,1,y
7,21876.5,-77.88,1.485,23543.8,216728.05,3,1,y
8,18133.6,-56.05,1.534,21681.0,161254.48,0,2,y
9,19988.0,-55.62,1.516,25002.9,134260.19,1,2,y
10,18715.0,-55.09,1.5,25008.1,93913.92,2,2,y
11,19933.2,-54.6,1.559,23224.1,215663.55,3,2,y
12,14977.6,-32.95,1.537,20002.0,187723.83,0,3,y
13,15348.5,-32.37,1.594,22349.9,151440.02,1,3,y
14,15431.9,-31.84,1.633,22250.6,242139.63,2,3,y
15,16868.8,-31.27,1.666,20435.3,229572.88,3,3,y
